TIPO_COD,COD,ETIQUETA
CVE_MUN_SSA,10017,OCAMPO
CVE_MUN_SSA,10018,EL ORO
CVE_MUN_SSA,10019,OTÁEZ
CVE_MUN_SSA,10020,PÁNUCO DE CORONADO
CVE_MUN_SSA,10021,PEÑÓN BLANCO
CVE_MUN_SSA,10022,POANAS
CVE_MUN_SSA,10023,PUEBLO NUEVO
CVE_MUN_SSA,10024,RODEO
CVE_MUN_SSA,10025,SAN BERNARDO
CVE_MUN_SSA,10026,SAN DIMAS
CVE_MUN_SSA,10027,SAN JUAN DE GUADALUPE
CVE_MUN_SSA,10028,SAN JUAN DEL RÍO
CVE_MUN_SSA,10029,SAN LUIS DEL CORDERO
CVE_MUN_SSA,10030,SAN PEDRO DEL GALLO
CVE_MUN_SSA,10031,SANTA CLARA
CVE_MUN_SSA,10032,SANTIAGO PAPASQUIARO
CVE_MUN_SSA,10033,SÚCHIL
CVE_MUN_SSA,10034,TAMAZULA
CVE_MUN_SSA,10035,TEPEHUANES
CVE_MUN_SSA,10036,TLAHUALILO
CVE_MUN_SSA,10037,TOPIA
CVE_MUN_SSA,10038,VICENTE GUERRERO
CVE_MUN_SSA,10039,NUEVO IDEAL
CVE_MUN_SSA,10999,NO ESPECIFICADO
CVE_MUN_SSA,11001,ABASOLO
CVE_MUN_SSA,11002,ACÁMBARO
CVE_MUN_SSA,11003,SAN MIGUEL DE ALLENDE
CVE_MUN_SSA,11004,APASEO EL ALTO
CVE_MUN_SSA,11005,APASEO EL GRANDE
CVE_MUN_SSA,11006,ATARJEA
CVE_MUN_SSA,11007,CELAYA
CVE_MUN_SSA,11008,MANUEL DOBLADO
CVE_MUN_SSA,11009,COMONFORT
CVE_MUN_SSA,11010,CORONEO
CVE_MUN_SSA,11011,CORTAZAR
CVE_MUN_SSA,11012,CUERÁMARO
CVE_MUN_SSA,11013,DOCTOR MORA
CVE_MUN_SSA,11014,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL
CVE_MUN_SSA,11015,GUANAJUATO
CVE_MUN_SSA,11016,HUANÍMARO
CVE_MUN_SSA,11017,IRAPUATO
CVE_MUN_SSA,11018,JARAL DEL PROGRESO
CVE_MUN_SSA,11019,JERÉCUARO
CVE_MUN_SSA,11020,LEÓN
CVE_MUN_SSA,11021,MOROLEÓN
CVE_MUN_SSA,11022,OCAMPO
CVE_MUN_SSA,11023,PÉNJAMO
CVE_MUN_SSA,11024,PUEBLO NUEVO
CVE_MUN_SSA,11025,PURÍSIMA DEL RINCÓN
CVE_MUN_SSA,11026,ROMITA
CVE_MUN_SSA,11027,SALAMANCA
CVE_MUN_SSA,11028,SALVATIERRA
CVE_MUN_SSA,11029,SAN DIEGO DE LA UNIÓN
CVE_MUN_SSA,11030,SAN FELIPE
CVE_MUN_SSA,11031,SAN FRANCISCO DEL RINCÓN
CVE_MUN_SSA,11032,SAN JOSÉ ITURBIDE
CVE_MUN_SSA,11033,SAN LUIS DE LA PAZ
CVE_MUN_SSA,11034,SANTA CATARINA
CVE_MUN_SSA,11035,SANTA CRUZ DE JUVENTINO ROSAS
CVE_MUN_SSA,11036,SANTIAGO MARAVATÍO
CVE_MUN_SSA,11037,SILAO DE LA VICTORIA
CVE_MUN_SSA,11038,TARANDACUAO
CVE_MUN_SSA,11039,TARIMORO
CVE_MUN_SSA,11040,TIERRA BLANCA
CVE_MUN_SSA,11041,URIANGATO
CVE_MUN_SSA,11042,VALLE DE SANTIAGO
CVE_MUN_SSA,11043,VICTORIA
CVE_MUN_SSA,11044,VILLAGRÁN
CVE_MUN_SSA,11045,XICHÚ
CVE_MUN_SSA,11046,YURIRIA
CVE_MUN_SSA,11999,NO ESPECIFICADO
CVE_MUN_SSA,12001,ACAPULCO DE JUÁREZ
CVE_MUN_SSA,12002,AHUACUOTZINGO
CVE_MUN_SSA,12003,AJUCHITLÁN DEL PROGRESO
CVE_MUN_SSA,12004,ALCOZAUCA DE GUERRERO
CVE_MUN_SSA,12005,ALPOYECA
CVE_MUN_SSA,12006,APAXTLA
CVE_MUN_SSA,12007,ARCELIA
CVE_MUN_SSA,12008,ATENANGO DEL RÍO
CVE_MUN_SSA,12009,ATLAMAJALCINGO DEL MONTE
CVE_MUN_SSA,12010,ATLIXTAC
CVE_MUN_SSA,12011,ATOYAC DE ÁLVAREZ
CVE_MUN_SSA,12012,AYUTLA DE LOS LIBRES
CVE_MUN_SSA,12013,AZOYÚ
CVE_MUN_SSA,12014,BENITO JUÁREZ
CVE_MUN_SSA,12015,BUENAVISTA DE CUÉLLAR
CVE_MUN_SSA,12016,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA
CVE_MUN_SSA,12017,COCULA
CVE_MUN_SSA,12018,COPALA
CVE_MUN_SSA,12019,COPALILLO
CVE_MUN_SSA,12020,COPANATOYAC
CVE_MUN_SSA,12021,COYUCA DE BENÍTEZ
CVE_MUN_SSA,12022,COYUCA DE CATALÁN
CVE_MUN_SSA,12023,CUAJINICUILAPA
CVE_MUN_SSA,12024,CUALÁC
CVE_MUN_SSA,12025,CUAUTEPEC
CVE_MUN_SSA,12026,CUETZALA DEL PROGRESO
CVE_MUN_SSA,12027,CUTZAMALA DE PINZÓN
CVE_MUN_SSA,12028,CHILAPA DE ÁLVAREZ
CVE_MUN_SSA,12029,CHILPANCINGO DE LOS BRAVO
CVE_MUN_SSA,12030,FLORENCIO VILLARREAL
CVE_MUN_SSA,12031,GENERAL CANUTO A. NERI
CVE_MUN_SSA,12032,GENERAL HELIODORO CASTILLO
CVE_MUN_SSA,12033,HUAMUXTITLÁN
CVE_MUN_SSA,12034,HUITZUCO DE LOS FIGUEROA
CVE_MUN_SSA,12035,IGUALA DE LA INDEPENDENCIA
CVE_MUN_SSA,12036,IGUALAPA
CVE_MUN_SSA,12037,IXCATEOPAN DE CUAUHTÉMOC
CVE_MUN_SSA,12038,ZIHUATANEJO DE AZUETA
